ablation,domain,model,pooling,loss,split,tag,fmax,fmax_star,wfmax,smin,auprc,iauprc
B,mf,mlp,raw,protein,val,mf_mlp_raw_protein_seed1337,0.6135,0.5369,0.4892,9.2123,0.4955,0.6273
C,bp,convnext_tiny,avg,protein,test,bp_convnext_tiny_avg_protein_seed1337,0.3844,0.3312,0.3076,25.9292,0.399,0.3959
C,bp,convnext_tiny,avg,protein,val,bp_convnext_tiny_avg_protein_seed1337,0.381,0.3263,0.304,25.4076,0.3948,0.3921
C,bp,convnext_tiny,max,protein,test,bp_convnext_tiny_max_protein_seed1337,0.3793,0.3286,0.3033,25.803,0.389,0.3899
C,bp,convnext_tiny,max,protein,val,bp_convnext_tiny_max_protein_seed1337,0.3765,0.3222,0.2966,25.3007,0.3836,0.3852
C,bp,resnet50,avg,protein,test,bp_resnet50_avg_protein_seed1337,0.3729,0.3215,0.2968,26.4223,0.3764,0.3844
C,bp,resnet50,avg,protein,val,bp_resnet50_avg_protein_seed1337,0.3677,0.3141,0.2894,25.8703,0.3674,0.376
C,bp,resnet50,max,protein,test,bp_resnet50_max_protein_seed1337,0.376,0.3285,0.2974,25.6518,0.3819,0.3897
C,bp,resnet50,max,protein,val,bp_resnet50_max_protein_seed1337,0.37,0.3209,0.2905,25.1042,0.3754,0.3826
C,cc,convnext_tiny,avg,protein,test,cc_convnext_tiny_avg_protein_seed1337,0.6408,0.5957,0.4051,12.4899,0.6817,0.6737
C,cc,convnext_tiny,avg,protein,val,cc_convnext_tiny_avg_protein_seed1337,0.6432,0.5978,0.4038,12.33,0.6854,0.6785
C,cc,convnext_tiny,max,protein,test,cc_convnext_tiny_max_protein_seed1337,0.6399,0.5955,0.4095,12.5107,0.6805,0.676
C,cc,convnext_tiny,max,protein,val,cc_convnext_tiny_max_protein_seed1337,0.6413,0.597,0.4084,12.3445,0.6821,0.6772
C,cc,resnet50,avg,protein,test,cc_resnet50_avg_protein_seed1337,0.6329,0.5847,0.4015,12.669,0.6545,0.6692
C,cc,resnet50,avg,protein,val,cc_resnet50_avg_protein_seed1337,0.6337,0.5853,0.3978,12.5189,0.6569,0.6718
C,cc,resnet50,max,protein,test,cc_resnet50_max_protein_seed1337,0.638,0.5913,0.4045,12.5541,0.6621,0.6755
C,cc,resnet50,max,protein,val,cc_resnet50_max_protein_seed1337,0.6403,0.5935,0.4006,12.4516,0.6623,0.6771
C,mf,convnext_tiny,avg,protein,test,mf_convnext_tiny_avg_protein_seed1337,0.5828,0.4939,0.4149,9.1932,0.543,0.5795
C,mf,convnext_tiny,avg,protein,val,mf_convnext_tiny_avg_protein_seed1337,0.5852,0.4969,0.4208,9.27,0.5451,0.5829
C,mf,convnext_tiny,max,protein,test,mf_convnext_tiny_max_protein_seed1337,0.5808,0.4917,0.4097,9.1452,0.5362,0.5734
C,mf,convnext_tiny,max,protein,val,mf_convnext_tiny_max_protein_seed1337,0.5851,0.4958,0.4172,9.1713,0.5379,0.5791
C,mf,resnet50,avg,protein,test,mf_resnet50_avg_protein_seed1337,0.5875,0.4997,0.4186,9.5327,0.5774,0.58
C,mf,resnet50,avg,protein,val,mf_resnet50_avg_protein_seed1337,0.5888,0.5015,0.4242,9.6089,0.5766,0.5806
C,mf,resnet50,max,protein,test,mf_resnet50_max_protein_seed1337,0.5813,0.4901,0.4092,9.3019,0.53,0.5793
C,mf,resnet50,max,protein,val,mf_resnet50_max_protein_seed1337,0.5858,0.4956,0.4187,9.2915,0.5322,0.5861
